datetime,temp,rain,wind_speed,ville,date_extraction
2025-06-29 06:00:00,20.12,0.0,1.96,Paris,2025-06-29
2025-06-29 09:00:00,21.34,0.0,2.07,Paris,2025-06-29
2025-06-29 12:00:00,25.36,0.0,1.83,Paris,2025-06-29
2025-06-29 15:00:00,31.48,0.0,2.34,Paris,2025-06-29
2025-06-29 18:00:00,32.32,0.0,3.56,Paris,2025-06-29
2025-06-29 21:00:00,28.39,0.0,3.15,Paris,2025-06-29
2025-06-30 00:00:00,25.56,0.0,2.79,Paris,2025-06-29
2025-06-30 03:00:00,23.18,0.0,2.19,Paris,2025-06-29
2025-06-30 06:00:00,24.56,0.0,1.84,Paris,2025-06-29
2025-06-30 09:00:00,31.59,0.0,1.25,Paris,2025-06-29
2025-06-30 12:00:00,36.06,0.0,1.94,Paris,2025-06-29
2025-06-30 15:00:00,37.11,0.0,2.0,Paris,2025-06-29
2025-06-30 18:00:00,36.18,0.0,3.09,Paris,2025-06-29
2025-06-30 21:00:00,32.08,0.0,3.31,Paris,2025-06-29
2025-07-01 00:00:00,29.02,0.0,2.31,Paris,2025-06-29
2025-07-01 03:00:00,25.93,0.0,2.05,Paris,2025-06-29
2025-07-01 06:00:00,24.72,0.0,3.12,Paris,2025-06-29
2025-07-01 09:00:00,30.66,0.0,2.19,Paris,2025-06-29
2025-07-01 12:00:00,36.62,0.0,1.46,Paris,2025-06-29
2025-07-01 15:00:00,38.35,0.0,1.83,Paris,2025-06-29
2025-07-01 18:00:00,37.43,0.0,3.24,Paris,2025-06-29
2025-07-01 21:00:00,30.75,0.0,4.22,Paris,2025-06-29
2025-07-02 00:00:00,27.19,0.0,3.24,Paris,2025-06-29
2025-07-02 03:00:00,25.61,0.0,2.08,Paris,2025-06-29
2025-07-02 06:00:00,28.08,0.0,2.65,Paris,2025-06-29
2025-07-02 09:00:00,35.52,0.0,2.33,Paris,2025-06-29
2025-07-02 12:00:00,40.87,0.0,1.97,Paris,2025-06-29
2025-07-02 15:00:00,36.62,0.0,3.83,Paris,2025-06-29
2025-07-02 18:00:00,34.36,0.0,4.03,Paris,2025-06-29
2025-07-02 21:00:00,29.83,0.0,4.15,Paris,2025-06-29
2025-07-03 00:00:00,27.88,0.0,0.82,Paris,2025-06-29
2025-07-03 03:00:00,23.21,0.0,4.64,Paris,2025-06-29
2025-07-03 06:00:00,19.84,0.0,4.87,Paris,2025-06-29
2025-07-03 09:00:00,22.51,0.0,4.51,Paris,2025-06-29
2025-07-03 12:00:00,26.97,0.0,4.4,Paris,2025-06-29
2025-07-03 15:00:00,28.3,0.0,5.97,Paris,2025-06-29
2025-07-03 18:00:00,24.78,0.0,5.68,Paris,2025-06-29
2025-07-03 21:00:00,19.44,0.0,5.34,Paris,2025-06-29
2025-07-04 00:00:00,16.37,0.0,4.9,Paris,2025-06-29
2025-07-04 03:00:00,15.02,0.0,3.61,Paris,2025-06-29
2025-06-29 06:00:00,31.3,0.0,7.2,Tokyo,2025-06-29
2025-06-29 09:00:00,30.11,0.0,8.04,Tokyo,2025-06-29
2025-06-29 12:00:00,28.07,0.0,7.49,Tokyo,2025-06-29
2025-06-29 15:00:00,25.92,0.0,5.94,Tokyo,2025-06-29
2025-06-29 18:00:00,25.55,0.0,3.47,Tokyo,2025-06-29
2025-06-29 21:00:00,26.01,0.0,2.32,Tokyo,2025-06-29
2025-06-30 00:00:00,28.58,0.0,3.21,Tokyo,2025-06-29
2025-06-30 03:00:00,30.35,0.0,6.5,Tokyo,2025-06-29
2025-06-30 06:00:00,29.94,0.0,7.68,Tokyo,2025-06-29
2025-06-30 09:00:00,27.47,0.0,7.96,Tokyo,2025-06-29
2025-06-30 12:00:00,27.01,0.0,6.24,Tokyo,2025-06-29
2025-06-30 15:00:00,26.32,0.0,4.47,Tokyo,2025-06-29
2025-06-30 18:00:00,25.84,0.0,3.16,Tokyo,2025-06-29
2025-06-30 21:00:00,26.17,0.0,2.15,Tokyo,2025-06-29
2025-07-01 00:00:00,29.02,0.0,2.16,Tokyo,2025-06-29
2025-07-01 03:00:00,31.38,0.0,5.28,Tokyo,2025-06-29
2025-07-01 06:00:00,31.64,0.0,6.64,Tokyo,2025-06-29
2025-07-01 09:00:00,29.14,0.0,7.5,Tokyo,2025-06-29
2025-07-01 12:00:00,26.86,0.0,7.26,Tokyo,2025-06-29
2025-07-01 15:00:00,26.07,0.65,5.97,Tokyo,2025-06-29
2025-07-01 18:00:00,25.82,0.21,4.25,Tokyo,2025-06-29
2025-07-01 21:00:00,26.07,0.0,1.59,Tokyo,2025-06-29
2025-07-02 00:00:00,28.54,0.48,1.91,Tokyo,2025-06-29
2025-07-02 03:00:00,30.58,0.0,4.97,Tokyo,2025-06-29
2025-07-02 06:00:00,31.66,0.13,6.89,Tokyo,2025-06-29
2025-07-02 09:00:00,27.95,3.03,7.03,Tokyo,2025-06-29
2025-07-02 12:00:00,24.67,23.07,3.66,Tokyo,2025-06-29
2025-07-02 15:00:00,25.74,0.19,0.58,Tokyo,2025-06-29
2025-07-02 18:00:00,24.85,0.0,2.5,Tokyo,2025-06-29
2025-07-02 21:00:00,25.0,0.0,1.23,Tokyo,2025-06-29
2025-07-03 00:00:00,27.57,0.0,2.17,Tokyo,2025-06-29
2025-07-03 03:00:00,29.41,0.0,3.39,Tokyo,2025-06-29
2025-07-03 06:00:00,29.78,0.0,3.47,Tokyo,2025-06-29
