datetime,temp,rain,wind_speed
2025-07-05 15:00:00,16.12,0.0,2.99
2025-07-05 18:00:00,12.53,0.0,1.71
2025-07-05 21:00:00,11.1,0.0,2.38
2025-07-06 00:00:00,9.9,0.0,2.03
2025-07-06 03:00:00,7.44,0.0,1.88
2025-07-06 06:00:00,15.61,0.0,2.42
2025-07-06 09:00:00,20.57,0.0,4.72
2025-07-06 12:00:00,15.91,0.0,3.77
2025-07-06 15:00:00,13.28,0.0,2.27
2025-07-06 18:00:00,12.93,0.0,1.97
2025-07-06 21:00:00,10.9,0.0,1.48
2025-07-07 00:00:00,12.36,0.0,0.87
2025-07-07 03:00:00,12.56,0.15,1.18
2025-07-07 06:00:00,15.58,0.0,2.79
2025-07-07 09:00:00,21.11,0.0,3.74
2025-07-07 12:00:00,21.59,0.0,3.58
2025-07-07 15:00:00,14.18,0.0,3.48
2025-07-07 18:00:00,12.77,0.0,1.18
2025-07-07 21:00:00,11.71,0.0,1.71
2025-07-08 00:00:00,9.55,0.0,1.5
2025-07-08 03:00:00,8.6,0.0,2.0
2025-07-08 06:00:00,16.65,0.0,4.38
2025-07-08 09:00:00,21.26,0.0,4.59
2025-07-08 12:00:00,20.36,0.0,4.88
2025-07-08 15:00:00,13.62,0.0,4.14
2025-07-08 18:00:00,11.08,0.0,2.77
2025-07-08 21:00:00,11.96,0.0,2.87
2025-07-09 00:00:00,11.55,0.0,3.05
2025-07-09 03:00:00,11.46,0.0,2.92
2025-07-09 06:00:00,14.52,0.0,4.4
2025-07-09 09:00:00,19.99,0.0,5.32
2025-07-09 12:00:00,18.92,0.0,5.83
2025-07-09 15:00:00,13.66,0.0,4.07
2025-07-09 18:00:00,12.01,0.0,3.89
2025-07-09 21:00:00,11.62,0.0,3.94
2025-07-10 00:00:00,12.05,0.0,4.28
2025-07-10 03:00:00,11.04,0.0,2.92
2025-07-10 06:00:00,14.37,0.0,5.29
2025-07-10 09:00:00,13.43,0.36,4.19
2025-07-10 12:00:00,17.49,0.0,6.23
