datetime,temp,rain,wind_speed
2025-07-05 15:00:00,27.62,0.0,4.68
2025-07-05 18:00:00,25.79,0.0,4.99
2025-07-05 21:00:00,21.03,0.0,2.71
2025-07-06 00:00:00,17.82,0.0,2.68
2025-07-06 03:00:00,15.23,0.0,3.68
2025-07-06 06:00:00,16.42,0.0,4.03
2025-07-06 09:00:00,14.4,3.08,4.63
2025-07-06 12:00:00,16.14,3.68,3.43
2025-07-06 15:00:00,19.25,1.6,2.46
2025-07-06 18:00:00,19.44,1.54,2.52
2025-07-06 21:00:00,17.27,0.1,3.55
2025-07-07 00:00:00,16.96,0.0,3.81
2025-07-07 03:00:00,16.49,0.0,3.68
2025-07-07 06:00:00,15.57,0.21,3.38
2025-07-07 09:00:00,14.01,9.39,4.31
2025-07-07 12:00:00,18.67,2.96,4.82
2025-07-07 15:00:00,16.39,2.46,2.6
2025-07-07 18:00:00,19.4,0.23,5.17
2025-07-07 21:00:00,16.41,0.0,2.85
2025-07-08 00:00:00,15.95,0.0,1.96
2025-07-08 03:00:00,15.27,0.0,3.04
2025-07-08 06:00:00,14.72,0.2,3.53
2025-07-08 09:00:00,19.16,0.0,4.07
2025-07-08 12:00:00,20.88,0.0,3.12
2025-07-08 15:00:00,23.36,0.0,3.74
2025-07-08 18:00:00,22.68,0.0,2.53
2025-07-08 21:00:00,18.35,0.0,2.74
2025-07-09 00:00:00,16.53,0.0,1.36
2025-07-09 03:00:00,14.95,0.0,1.21
2025-07-09 06:00:00,15.9,0.0,1.29
2025-07-09 09:00:00,21.26,0.0,1.35
2025-07-09 12:00:00,25.52,0.0,1.18
2025-07-09 15:00:00,26.4,0.0,2.49
2025-07-09 18:00:00,25.76,0.0,1.38
2025-07-09 21:00:00,21.85,0.0,2.61
2025-07-10 00:00:00,19.31,0.0,1.47
2025-07-10 03:00:00,17.5,0.0,1.68
2025-07-10 06:00:00,18.28,0.0,2.13
2025-07-10 09:00:00,23.79,0.0,2.6
2025-07-10 12:00:00,28.04,0.0,2.56
