datetime,temp,rain,wind_speed
2025-07-05 15:00:00,20.24,0.0,4.64
2025-07-05 18:00:00,21.27,0.0,4.39
2025-07-05 21:00:00,22.86,0.0,4.73
2025-07-06 00:00:00,20.94,0.0,3.15
2025-07-06 03:00:00,20.22,0.0,1.91
2025-07-06 06:00:00,21.62,0.34,2.04
2025-07-06 09:00:00,16.18,0.41,1.84
2025-07-06 12:00:00,19.03,0.0,3.14
2025-07-06 15:00:00,21.59,0.16,3.07
2025-07-06 18:00:00,23.35,0.41,3.8
2025-07-06 21:00:00,21.77,0.85,2.49
2025-07-07 00:00:00,19.13,13.66,1.61
2025-07-07 03:00:00,18.84,2.67,0.99
2025-07-07 06:00:00,16.93,5.97,4.82
2025-07-07 09:00:00,15.47,0.71,4.11
2025-07-07 12:00:00,16.1,0.0,3.91
2025-07-07 15:00:00,16.24,0.0,4.4
2025-07-07 18:00:00,15.4,0.13,2.58
2025-07-07 21:00:00,14.85,0.37,2.71
2025-07-08 00:00:00,15.05,0.0,1.93
2025-07-08 03:00:00,15.09,0.0,1.46
2025-07-08 06:00:00,13.3,0.0,0.73
2025-07-08 09:00:00,12.24,0.0,0.91
2025-07-08 12:00:00,16.73,0.0,1.43
2025-07-08 15:00:00,20.58,0.0,1.75
2025-07-08 18:00:00,23.48,0.0,2.01
2025-07-08 21:00:00,24.22,0.0,1.52
2025-07-09 00:00:00,20.15,0.0,0.83
2025-07-09 03:00:00,16.13,0.0,1.65
2025-07-09 06:00:00,14.77,0.0,1.31
2025-07-09 09:00:00,14.51,0.0,1.86
2025-07-09 12:00:00,18.45,0.0,1.87
2025-07-09 15:00:00,22.17,0.0,3.0
2025-07-09 18:00:00,24.71,0.0,2.3
2025-07-09 21:00:00,24.92,0.0,2.81
2025-07-10 00:00:00,19.88,0.0,2.87
2025-07-10 03:00:00,19.7,0.0,3.5
2025-07-10 06:00:00,19.52,0.0,4.02
2025-07-10 09:00:00,16.92,0.33,5.14
2025-07-10 12:00:00,18.5,0.45,5.89
