datetime,temp,rain,wind_speed
2025-06-29 06:00:00,31.3,0.0,7.2
2025-06-29 09:00:00,30.11,0.0,8.04
2025-06-29 12:00:00,28.07,0.0,7.49
2025-06-29 15:00:00,25.92,0.0,5.94
2025-06-29 18:00:00,25.55,0.0,3.47
2025-06-29 21:00:00,26.01,0.0,2.32
2025-06-30 00:00:00,28.58,0.0,3.21
2025-06-30 03:00:00,30.35,0.0,6.5
2025-06-30 06:00:00,29.94,0.0,7.68
2025-06-30 09:00:00,27.47,0.0,7.96
2025-06-30 12:00:00,27.01,0.0,6.24
2025-06-30 15:00:00,26.32,0.0,4.47
2025-06-30 18:00:00,25.84,0.0,3.16
2025-06-30 21:00:00,26.17,0.0,2.15
2025-07-01 00:00:00,29.02,0.0,2.16
2025-07-01 03:00:00,31.38,0.0,5.28
2025-07-01 06:00:00,31.64,0.0,6.64
2025-07-01 09:00:00,29.14,0.0,7.5
2025-07-01 12:00:00,26.86,0.0,7.26
2025-07-01 15:00:00,26.07,0.65,5.97
2025-07-01 18:00:00,25.82,0.21,4.25
2025-07-01 21:00:00,26.07,0.0,1.59
2025-07-02 00:00:00,28.54,0.48,1.91
2025-07-02 03:00:00,30.58,0.0,4.97
2025-07-02 06:00:00,31.66,0.13,6.89
2025-07-02 09:00:00,27.95,3.03,7.03
2025-07-02 12:00:00,24.67,23.07,3.66
2025-07-02 15:00:00,25.74,0.19,0.58
2025-07-02 18:00:00,24.85,0.0,2.5
2025-07-02 21:00:00,25.0,0.0,1.23
2025-07-03 00:00:00,27.57,0.0,2.17
2025-07-03 03:00:00,29.41,0.0,3.39
2025-07-03 06:00:00,29.78,0.0,3.47
2025-07-03 09:00:00,30.03,0.0,5.19
2025-07-03 12:00:00,26.52,0.0,3.9
2025-07-03 15:00:00,25.74,0.0,2.74
2025-07-03 18:00:00,24.71,0.0,3.58
2025-07-03 21:00:00,24.21,0.0,3.96
2025-07-04 00:00:00,27.33,0.0,3.72
2025-07-04 03:00:00,30.46,0.0,4.23
