time,temperature_2m_max,precipitation_sum,windspeed_10m_max,city
2024-06-30,20.7,0.0,14.6,Antananarivo
2024-07-01,22.5,0.0,14.7,Antananarivo
2024-07-02,18.8,0.0,18.8,Antananarivo
2024-07-03,19.7,0.0,17.2,Antananarivo
2024-07-04,21.9,0.0,9.6,Antananarivo
2024-07-05,21.3,0.0,9.8,Antananarivo
2024-07-06,21.8,0.0,8.4,Antananarivo
2024-07-07,23.2,0.0,9.8,Antananarivo
2024-07-08,23.2,0.0,11.9,Antananarivo
2024-07-09,24.5,0.0,11.2,Antananarivo
2024-07-10,21.3,0.0,18.1,Antananarivo
2024-07-11,19.7,0.0,20.3,Antananarivo
2024-07-12,18.7,0.2,21.1,Antananarivo
2024-07-13,20.9,0.2,25.9,Antananarivo
2024-07-14,20.4,0.0,19.5,Antananarivo
2024-07-15,20.8,0.0,10.9,Antananarivo
2024-07-16,22.5,0.0,9.5,Antananarivo
2024-07-17,22.9,0.0,7.0,Antananarivo
2024-07-18,22.6,0.0,11.5,Antananarivo
2024-07-19,22.9,0.0,12.0,Antananarivo
2024-07-20,23.6,0.0,15.1,Antananarivo
2024-07-21,23.0,0.0,11.7,Antananarivo
2024-07-22,23.4,0.0,13.1,Antananarivo
2024-07-23,22.8,0.0,17.5,Antananarivo
2024-07-24,21.9,0.1,16.8,Antananarivo
2024-07-25,22.8,0.0,10.1,Antananarivo
2024-07-26,23.2,0.0,14.5,Antananarivo
2024-07-27,23.1,0.0,14.3,Antananarivo
2024-07-28,23.2,0.0,7.4,Antananarivo
2024-07-29,23.2,0.0,8.9,Antananarivo
2024-07-30,23.1,0.0,12.3,Antananarivo
2024-07-31,23.8,0.0,12.6,Antananarivo
2024-08-01,23.4,0.0,14.8,Antananarivo
2024-08-02,21.8,0.0,18.4,Antananarivo
2024-08-03,25.0,0.0,13.7,Antananarivo
2024-08-04,25.0,0.0,15.1,Antananarivo
2024-08-05,24.6,0.0,11.0,Antananarivo
2024-08-06,25.8,0.0,15.1,Antananarivo
2024-08-07,22.8,0.0,17.8,Antananarivo
2024-08-08,22.1,0.0,16.2,Antananarivo
2024-08-09,22.4,0.0,15.6,Antananarivo
2024-08-10,22.2,0.0,16.6,Antananarivo
2024-08-11,21.3,0.1,14.4,Antananarivo
2024-08-12,24.1,0.0,13.7,Antananarivo
2024-08-13,23.8,0.0,18.2,Antananarivo
2024-08-14,20.8,0.3,15.1,Antananarivo
2024-08-15,24.9,0.0,20.9,Antananarivo
2024-08-16,21.8,0.0,22.6,Antananarivo
2024-08-17,18.5,0.2,27.2,Antananarivo
2024-08-18,20.0,0.2,28.7,Antananarivo
2024-08-19,20.1,0.1,29.5,Antananarivo
2024-08-20,20.3,0.0,25.6,Antananarivo
2024-08-21,19.3,0.1,30.8,Antananarivo
2024-08-22,20.6,0.6,19.8,Antananarivo
2024-08-23,24.5,0.0,13.8,Antananarivo
2024-08-24,21.0,0.0,21.4,Antananarivo
2024-08-25,19.2,0.0,20.4,Antananarivo
2024-08-26,19.6,0.0,19.1,Antananarivo
