time,temperature_2m_max,precipitation_sum,windspeed_10m_max,city
2024-06-30,30.9,0.0,14.9,Mahajanga
2024-07-01,30.7,0.0,13.5,Mahajanga
2024-07-02,31.3,0.0,16.0,Mahajanga
2024-07-03,30.8,0.0,15.3,Mahajanga
2024-07-04,31.0,0.0,14.8,Mahajanga
2024-07-05,31.4,0.0,14.6,Mahajanga
2024-07-06,31.7,0.0,14.0,Mahajanga
2024-07-07,32.1,0.0,14.7,Mahajanga
2024-07-08,32.1,0.0,15.1,Mahajanga
2024-07-09,31.6,0.0,14.5,Mahajanga
2024-07-10,31.4,0.0,20.8,Mahajanga
2024-07-11,30.8,0.0,20.5,Mahajanga
2024-07-12,31.4,0.0,25.1,Mahajanga
2024-07-13,32.9,0.0,23.3,Mahajanga
2024-07-14,32.1,0.0,26.5,Mahajanga
2024-07-15,31.9,0.0,19.8,Mahajanga
2024-07-16,32.1,0.0,15.9,Mahajanga
2024-07-17,32.0,0.0,15.9,Mahajanga
2024-07-18,32.1,0.0,17.0,Mahajanga
2024-07-19,31.2,0.0,10.9,Mahajanga
2024-07-20,31.1,0.0,16.2,Mahajanga
2024-07-21,31.1,0.0,13.7,Mahajanga
2024-07-22,31.9,0.0,13.0,Mahajanga
2024-07-23,32.2,0.0,17.2,Mahajanga
2024-07-24,32.3,0.0,19.7,Mahajanga
2024-07-25,31.7,0.0,18.2,Mahajanga
2024-07-26,30.2,0.0,17.0,Mahajanga
2024-07-27,32.6,0.0,15.3,Mahajanga
2024-07-28,31.9,0.0,17.3,Mahajanga
2024-07-29,32.1,0.0,17.1,Mahajanga
2024-07-30,32.0,0.0,15.6,Mahajanga
2024-07-31,32.2,0.0,17.1,Mahajanga
2024-08-01,32.0,0.0,18.6,Mahajanga
2024-08-02,31.2,0.0,19.5,Mahajanga
2024-08-03,31.2,0.0,17.8,Mahajanga
2024-08-04,31.3,0.0,18.6,Mahajanga
2024-08-05,31.6,0.0,16.8,Mahajanga
2024-08-06,32.8,0.0,18.4,Mahajanga
2024-08-07,32.3,0.0,22.3,Mahajanga
2024-08-08,31.8,0.0,22.4,Mahajanga
2024-08-09,32.8,0.0,18.6,Mahajanga
2024-08-10,32.8,0.0,16.8,Mahajanga
2024-08-11,32.9,0.0,19.2,Mahajanga
2024-08-12,33.5,0.0,17.6,Mahajanga
2024-08-13,33.8,0.0,16.9,Mahajanga
2024-08-14,32.9,0.0,21.4,Mahajanga
2024-08-15,33.7,0.0,18.6,Mahajanga
2024-08-16,32.9,0.0,21.5,Mahajanga
2024-08-17,33.6,0.0,22.5,Mahajanga
2024-08-18,33.4,0.0,24.3,Mahajanga
2024-08-19,33.6,0.0,27.4,Mahajanga
2024-08-20,33.3,0.0,24.8,Mahajanga
2024-08-21,32.4,0.0,28.6,Mahajanga
2024-08-22,32.8,0.0,24.4,Mahajanga
2024-08-23,32.9,0.0,17.8,Mahajanga
2024-08-24,34.4,0.0,17.2,Mahajanga
2024-08-25,32.8,0.0,22.3,Mahajanga
2024-08-26,32.9,0.0,21.3,Mahajanga
2024-08-27,33.4,0.0,27.4,Mahajanga
2024-08-28,33.6,0.0,28.5,Mahajanga
2024-08-29,33.4,0.0,23.4,Mahajanga
2024-08-30,33.7,0.0,18.7,Mahajanga
2024-08-31,34.0,0.0,18.0,Mahajanga
2024-09-01,32.3,0.0,21.0,Mahajanga
2024-09-02,33.0,0.2,19.4,Mahajanga
2024-09-03,33.6,0.7,17.9,Mahajanga
2024-09-04,33.1,4.5,17.1,Mahajanga
2024-09-05,34.9,1.1,21.4,Mahajanga
2024-09-06,34.2,0.0,19.8,Mahajanga
2024-09-07,35.1,0.0,19.0,Mahajanga
2024-09-08,34.4,0.0,17.9,Mahajanga
2024-09-09,34.3,0.0,18.1,Mahajanga
2024-09-10,34.2,0.0,19.5,Mahajanga
2024-09-11,35.3,0.0,19.1,Mahajanga
2024-09-12,33.7,0.0,21.0,Mahajanga
2024-09-13,34.9,0.0,15.2,Mahajanga
2024-09-14,35.1,0.0,24.5,Mahajanga
2024-09-15,34.7,0.0,23.9,Mahajanga
