time,temperature_2m_max,precipitation_sum,windspeed_10m_max,city
2024-06-30,22.2,4.2,18.3,Paris
2024-07-01,20.0,1.4,17.6,Paris
2024-07-02,20.0,1.2,16.5,Paris
2024-07-03,20.4,0.2,20.4,Paris
2024-07-04,21.4,0.4,22.8,Paris
2024-07-05,23.8,0.1,18.6,Paris
2024-07-06,20.7,0.1,27.9,Paris
2024-07-07,20.8,0.1,21.1,Paris
2024-07-08,22.3,0.0,12.8,Paris
2024-07-09,27.6,2.6,14.3,Paris
2024-07-10,25.4,0.5,19.6,Paris
2024-07-11,23.9,0.3,15.5,Paris
2024-07-12,19.3,12.4,17.4,Paris
2024-07-13,21.0,3.2,9.9,Paris
2024-07-14,22.6,0.1,9.0,Paris
2024-07-15,27.0,1.1,23.4,Paris
2024-07-16,22.7,0.8,28.0,Paris
2024-07-17,24.5,0.0,10.0,Paris
2024-07-18,29.0,0.0,8.5,Paris
2024-07-19,31.9,0.2,8.4,Paris
2024-07-20,30.3,8.8,12.7,Paris
2024-07-21,25.3,6.4,19.7,Paris
2024-07-22,24.5,0.0,17.4,Paris
2024-07-23,23.8,1.9,24.5,Paris
2024-07-24,24.5,0.0,7.7,Paris
2024-07-25,28.0,0.0,13.3,Paris
2024-07-26,23.6,4.9,10.6,Paris
2024-07-27,19.8,8.0,10.1,Paris
2024-07-28,24.5,0.0,14.5,Paris
2024-07-29,29.2,0.0,12.9,Paris
2024-07-30,33.6,0.0,9.4,Paris
2024-07-31,31.2,7.1,17.6,Paris
2024-08-01,28.7,29.4,13.7,Paris
2024-08-02,27.2,2.7,19.4,Paris
2024-08-03,24.2,0.6,14.8,Paris
2024-08-04,23.5,0.0,14.3,Paris
2024-08-05,27.5,0.0,7.6,Paris
2024-08-06,28.3,0.0,15.6,Paris
2024-08-07,23.4,2.8,13.7,Paris
2024-08-08,27.2,0.1,15.2,Paris
2024-08-09,25.3,0.0,18.5,Paris
2024-08-10,27.7,0.0,9.4,Paris
2024-08-11,31.8,0.0,16.3,Paris
2024-08-12,35.2,0.0,15.4,Paris
2024-08-13,27.5,1.4,17.8,Paris
2024-08-14,26.1,8.9,12.2,Paris
2024-08-15,26.0,0.7,13.0,Paris
2024-08-16,25.5,0.1,17.9,Paris
2024-08-17,22.3,37.7,15.5,Paris
2024-08-18,22.0,6.4,20.2,Paris
2024-08-19,22.2,0.0,9.2,Paris
2024-08-20,23.8,16.2,21.6,Paris
2024-08-21,21.0,0.0,15.3,Paris
2024-08-22,24.5,0.0,17.7,Paris
2024-08-23,25.0,0.1,28.3,Paris
2024-08-24,29.2,2.9,28.5,Paris
2024-08-25,21.4,0.0,17.3,Paris
2024-08-26,23.4,0.0,9.5,Paris
2024-08-27,26.0,0.0,9.1,Paris
2024-08-28,30.7,0.0,15.3,Paris
2024-08-29,25.3,1.1,14.8,Paris
2024-08-30,21.8,13.2,15.5,Paris
2024-08-31,25.6,0.9,13.2,Paris
2024-09-01,27.8,0.2,19.4,Paris
2024-09-02,24.5,0.3,16.3,Paris
2024-09-03,22.1,7.5,14.8,Paris
2024-09-04,21.7,1.6,11.3,Paris
2024-09-05,17.2,29.2,24.3,Paris
2024-09-06,22.7,0.3,11.8,Paris
2024-09-07,23.5,6.2,14.5,Paris
2024-09-08,20.6,5.7,23.9,Paris
2024-09-09,20.1,1.0,27.4,Paris
2024-09-10,17.8,0.1,25.4,Paris
2024-09-11,16.4,4.7,27.0,Paris
2024-09-12,15.5,2.0,22.7,Paris
2024-09-13,16.7,1.9,19.2,Paris
2024-09-14,16.6,0.0,10.7,Paris
2024-09-15,18.5,0.0,9.0,Paris
2024-09-16,19.2,0.4,18.1,Paris
2024-09-17,20.9,0.0,26.0,Paris
2024-09-18,23.6,0.5,27.9,Paris
2024-09-19,24.9,0.0,22.4,Paris
2024-09-20,20.9,4.6,16.5,Paris
2024-09-21,23.3,0.5,17.6,Paris
2024-09-22,20.6,13.9,14.2,Paris
2024-09-23,19.4,8.8,19.3,Paris
2024-09-24,18.2,1.4,27.1,Paris
2024-09-25,17.3,16.0,25.8,Paris
2024-09-26,18.6,11.5,30.6,Paris
2024-09-27,15.9,1.5,30.2,Paris
2024-09-28,13.8,0.7,17.4,Paris
2024-09-29,14.9,0.0,23.2,Paris
2024-09-30,18.1,0.4,34.0,Paris
2024-10-01,17.4,0.1,19.6,Paris
2024-10-02,16.5,1.6,22.0,Paris
2024-10-03,14.2,0.1,20.6,Paris
2024-10-04,15.3,0.0,11.4,Paris
2024-10-05,16.4,0.0,17.5,Paris
2024-10-06,16.9,4.2,20.2,Paris
2024-10-07,17.8,11.8,21.3,Paris
2024-10-08,19.2,0.5,26.0,Paris
2024-10-09,17.1,55.7,28.9,Paris
2024-10-10,15.4,1.3,22.2,Paris
2024-10-11,13.8,0.0,9.4,Paris
2024-10-12,15.8,1.8,15.3,Paris
2024-10-13,15.0,0.0,16.9,Paris
2024-10-14,21.5,0.1,16.7,Paris
2024-10-15,20.2,0.2,18.2,Paris
2024-10-16,24.7,6.0,22.8,Paris
2024-10-17,18.3,12.5,17.2,Paris
2024-10-18,16.0,7.7,19.9,Paris
2024-10-19,16.6,2.7,22.9,Paris
2024-10-20,18.5,0.7,23.8,Paris
2024-10-21,21.0,1.6,28.2,Paris
