time,temperature_2m_max,precipitation_sum,windspeed_10m_max,city
2024-06-30,24.4,8.5,21.3,Quebec
2024-07-01,25.7,0.0,15.5,Quebec
2024-07-02,27.4,0.0,10.8,Quebec
2024-07-03,27.5,0.0,17.0,Quebec
2024-07-04,27.4,1.9,19.5,Quebec
2024-07-05,26.3,5.3,13.0,Quebec
2024-07-06,24.4,17.1,18.9,Quebec
2024-07-07,26.0,4.9,11.5,Quebec
2024-07-08,26.8,0.0,15.1,Quebec
2024-07-09,26.2,13.0,16.2,Quebec
2024-07-10,24.6,13.7,9.6,Quebec
2024-07-11,22.1,2.5,25.4,Quebec
2024-07-12,25.1,0.2,12.7,Quebec
2024-07-13,25.8,5.0,22.1,Quebec
2024-07-14,29.0,0.0,20.6,Quebec
2024-07-15,28.5,0.5,19.0,Quebec
2024-07-16,27.7,26.9,14.5,Quebec
2024-07-17,26.8,2.4,21.4,Quebec
2024-07-18,23.9,1.6,23.6,Quebec
2024-07-19,24.2,0.6,19.0,Quebec
2024-07-20,25.6,10.9,23.7,Quebec
2024-07-21,21.0,0.0,17.8,Quebec
2024-07-22,24.1,0.0,18.7,Quebec
2024-07-23,24.3,0.0,14.3,Quebec
2024-07-24,25.8,4.5,16.1,Quebec
2024-07-25,24.0,38.5,22.1,Quebec
2024-07-26,25.7,0.6,13.8,Quebec
2024-07-27,26.1,0.0,14.6,Quebec
2024-07-28,28.7,0.0,14.4,Quebec
2024-07-29,31.2,0.0,11.8,Quebec
2024-07-30,26.1,7.1,12.3,Quebec
2024-07-31,26.7,13.5,12.0,Quebec
2024-08-01,29.8,0.7,13.8,Quebec
2024-08-02,28.7,3.9,13.3,Quebec
2024-08-03,29.5,2.9,16.3,Quebec
2024-08-04,28.5,1.0,11.7,Quebec
2024-08-05,24.1,1.7,17.5,Quebec
2024-08-06,22.5,0.5,16.2,Quebec
2024-08-07,22.9,0.0,14.4,Quebec
2024-08-08,25.1,0.0,9.9,Quebec
2024-08-09,19.4,74.6,33.0,Quebec
2024-08-10,25.2,3.2,23.4,Quebec
2024-08-11,23.2,2.2,17.6,Quebec
2024-08-12,21.9,6.6,14.8,Quebec
2024-08-13,26.8,0.0,15.0,Quebec
2024-08-14,25.5,0.2,8.2,Quebec
2024-08-15,26.3,0.7,7.9,Quebec
2024-08-16,26.5,0.0,9.4,Quebec
2024-08-17,26.5,4.6,8.4,Quebec
2024-08-18,26.0,1.8,11.3,Quebec
2024-08-19,20.9,32.8,13.0,Quebec
2024-08-20,16.9,20.5,15.1,Quebec
2024-08-21,16.5,1.9,22.9,Quebec
2024-08-22,19.0,9.0,20.8,Quebec
2024-08-23,22.7,0.0,14.9,Quebec
2024-08-24,25.2,0.0,16.0,Quebec
2024-08-25,23.6,1.7,12.5,Quebec
2024-08-26,25.4,0.0,9.6,Quebec
2024-08-27,27.3,0.1,18.0,Quebec
2024-08-28,21.4,7.5,20.2,Quebec
2024-08-29,20.0,0.0,8.3,Quebec
2024-08-30,25.3,0.0,10.0,Quebec
2024-08-31,20.3,9.6,10.8,Quebec
2024-09-01,25.7,8.9,24.5,Quebec
2024-09-02,16.7,0.0,19.4,Quebec
2024-09-03,19.5,0.0,18.4,Quebec
2024-09-04,24.1,0.1,17.2,Quebec
2024-09-05,25.3,0.0,13.2,Quebec
2024-09-06,25.5,0.0,13.0,Quebec
2024-09-07,23.6,6.6,23.1,Quebec
2024-09-08,15.3,8.3,24.3,Quebec
2024-09-09,17.1,0.2,22.7,Quebec
2024-09-10,16.8,0.0,15.9,Quebec
2024-09-11,21.8,0.0,14.7,Quebec
2024-09-12,22.5,0.8,11.3,Quebec
2024-09-13,25.3,0.0,11.2,Quebec
2024-09-14,21.6,0.0,15.1,Quebec
2024-09-15,25.5,0.0,12.7,Quebec
2024-09-16,26.8,0.0,18.0,Quebec
2024-09-17,26.7,0.0,15.6,Quebec
2024-09-18,26.7,0.0,14.0,Quebec
2024-09-19,20.7,0.0,22.2,Quebec
2024-09-20,20.8,0.2,20.2,Quebec
2024-09-21,18.6,0.0,14.9,Quebec
2024-09-22,18.3,0.2,17.8,Quebec
