time,temperature_2m_max,precipitation_sum,windspeed_10m_max,city
2024-06-30,32.7,0.0,21.9,Rome
2024-07-01,31.2,0.0,18.6,Rome
2024-07-02,31.8,0.2,17.6,Rome
2024-07-03,24.5,13.8,12.2,Rome
2024-07-04,28.7,0.0,21.7,Rome
2024-07-05,30.2,0.0,15.6,Rome
2024-07-06,31.1,0.0,19.5,Rome
2024-07-07,32.2,0.1,24.3,Rome
2024-07-08,32.8,0.0,18.6,Rome
2024-07-09,36.0,0.1,21.0,Rome
2024-07-10,37.3,0.0,20.2,Rome
2024-07-11,38.9,0.0,21.0,Rome
2024-07-12,35.4,0.0,17.8,Rome
2024-07-13,35.5,0.0,20.6,Rome
2024-07-14,36.5,0.1,15.7,Rome
2024-07-15,38.2,0.0,16.2,Rome
2024-07-16,37.0,0.0,20.7,Rome
2024-07-17,38.8,0.0,18.4,Rome
2024-07-18,36.8,0.0,17.2,Rome
2024-07-19,38.3,0.0,19.8,Rome
2024-07-20,35.4,0.0,19.4,Rome
2024-07-21,35.7,0.0,16.4,Rome
2024-07-22,35.6,0.5,22.9,Rome
2024-07-23,37.2,0.0,21.4,Rome
2024-07-24,37.2,0.0,21.2,Rome
2024-07-25,34.8,0.3,17.3,Rome
2024-07-26,35.2,0.0,17.2,Rome
2024-07-27,37.2,0.0,19.8,Rome
2024-07-28,37.9,0.0,20.0,Rome
2024-07-29,39.5,0.0,22.5,Rome
2024-07-30,38.1,0.0,22.4,Rome
2024-07-31,37.2,0.0,22.0,Rome
2024-08-01,36.7,0.0,17.9,Rome
2024-08-02,36.7,0.0,19.7,Rome
2024-08-03,36.4,4.3,13.5,Rome
2024-08-04,34.4,0.4,16.1,Rome
2024-08-05,34.0,0.1,15.6,Rome
2024-08-06,35.6,0.0,16.2,Rome
2024-08-07,36.1,0.1,16.3,Rome
2024-08-08,35.4,0.0,18.6,Rome
2024-08-09,36.1,0.0,17.1,Rome
2024-08-10,37.4,0.1,21.4,Rome
2024-08-11,38.2,0.0,24.7,Rome
2024-08-12,37.1,0.0,16.9,Rome
2024-08-13,35.8,4.0,13.5,Rome
2024-08-14,37.2,0.0,17.6,Rome
2024-08-15,36.1,0.0,23.9,Rome
2024-08-16,35.9,0.0,18.2,Rome
2024-08-17,33.5,0.4,15.6,Rome
2024-08-18,29.4,4.3,19.1,Rome
2024-08-19,29.5,9.6,11.0,Rome
2024-08-20,30.8,0.6,15.5,Rome
2024-08-21,33.6,0.0,17.9,Rome
2024-08-22,31.8,0.1,20.2,Rome
2024-08-23,33.7,0.1,15.5,Rome
2024-08-24,34.4,0.0,15.5,Rome
2024-08-25,35.6,0.0,19.6,Rome
2024-08-26,36.0,0.0,18.3,Rome
2024-08-27,33.6,3.3,8.7,Rome
2024-08-28,35.6,0.3,17.7,Rome
2024-08-29,35.2,0.0,15.5,Rome
2024-08-30,36.4,0.0,22.2,Rome
2024-08-31,36.3,0.0,22.4,Rome
2024-09-01,34.6,0.0,15.7,Rome
2024-09-02,32.7,0.2,14.4,Rome
2024-09-03,32.4,2.5,16.9,Rome
2024-09-04,32.1,0.5,14.4,Rome
2024-09-05,28.9,14.3,18.7,Rome
2024-09-06,30.3,0.0,15.1,Rome
2024-09-07,33.7,0.0,20.5,Rome
2024-09-08,34.3,0.0,30.8,Rome
2024-09-09,27.9,25.5,35.8,Rome
2024-09-10,30.6,0.0,17.7,Rome
2024-09-11,27.2,2.4,14.2,Rome
2024-09-12,24.5,20.4,20.6,Rome
2024-09-13,20.0,7.8,22.1,Rome
2024-09-14,22.5,0.0,21.9,Rome
