time,temperature_2m_max,precipitation_sum,windspeed_10m_max,city
2024-06-30,28.2,2.5,49.7,Tokyo
2024-07-01,28.0,6.7,57.1,Tokyo
2024-07-02,31.2,4.9,16.2,Tokyo
2024-07-03,31.3,1.1,20.5,Tokyo
2024-07-04,33.1,0.0,14.4,Tokyo
2024-07-05,33.5,0.0,15.6,Tokyo
2024-07-06,33.5,1.1,13.5,Tokyo
2024-07-07,32.7,0.0,12.1,Tokyo
2024-07-08,35.1,0.0,17.2,Tokyo
2024-07-09,33.5,0.0,25.0,Tokyo
2024-07-10,32.3,1.9,38.0,Tokyo
2024-07-11,29.4,0.9,50.4,Tokyo
2024-07-12,25.6,17.6,17.7,Tokyo
2024-07-13,30.2,3.7,26.1,Tokyo
2024-07-14,29.0,14.0,19.6,Tokyo
2024-07-15,26.8,0.4,30.6,Tokyo
2024-07-16,26.3,19.8,19.6,Tokyo
2024-07-17,30.0,6.1,14.1,Tokyo
2024-07-18,30.9,0.0,18.2,Tokyo
2024-07-19,32.3,0.0,17.0,Tokyo
2024-07-20,35.0,13.9,20.1,Tokyo
2024-07-21,32.0,19.3,21.5,Tokyo
2024-07-22,35.0,0.1,20.6,Tokyo
2024-07-23,33.2,0.0,25.9,Tokyo
2024-07-24,34.7,0.0,17.6,Tokyo
2024-07-25,33.9,0.2,19.4,Tokyo
2024-07-26,34.9,1.1,16.5,Tokyo
2024-07-27,35.5,0.2,12.7,Tokyo
2024-07-28,37.3,1.1,18.8,Tokyo
2024-07-29,38.1,0.0,29.0,Tokyo
2024-07-30,38.6,2.6,28.1,Tokyo
2024-07-31,36.2,0.9,21.5,Tokyo
2024-08-01,34.6,0.0,23.5,Tokyo
2024-08-02,35.8,0.0,23.6,Tokyo
2024-08-03,36.4,0.0,24.2,Tokyo
2024-08-04,37.5,0.0,24.7,Tokyo
2024-08-05,36.9,2.0,20.6,Tokyo
2024-08-06,34.8,2.2,15.7,Tokyo
2024-08-07,32.4,18.1,27.4,Tokyo
2024-08-08,32.3,2.2,18.1,Tokyo
2024-08-09,33.5,3.5,18.8,Tokyo
2024-08-10,33.9,1.8,27.5,Tokyo
2024-08-11,35.7,0.0,24.9,Tokyo
2024-08-12,36.2,0.0,34.2,Tokyo
2024-08-13,37.0,0.0,28.1,Tokyo
2024-08-14,36.4,0.5,22.2,Tokyo
2024-08-15,36.6,1.4,25.4,Tokyo
2024-08-16,27.9,57.3,44.5,Tokyo
2024-08-17,34.6,0.2,35.5,Tokyo
2024-08-18,32.4,1.1,17.9,Tokyo
2024-08-19,32.7,5.3,16.4,Tokyo
2024-08-20,33.3,2.4,21.4,Tokyo
2024-08-21,31.8,1.4,17.9,Tokyo
2024-08-22,30.4,1.4,25.8,Tokyo
2024-08-23,31.7,0.6,30.8,Tokyo
2024-08-24,32.8,6.5,22.0,Tokyo
2024-08-25,32.1,0.2,28.2,Tokyo
2024-08-26,32.1,0.1,30.7,Tokyo
2024-08-27,31.3,0.9,39.1,Tokyo
2024-08-28,30.3,0.3,24.4,Tokyo
2024-08-29,30.3,31.6,20.5,Tokyo
2024-08-30,27.6,36.3,32.5,Tokyo
2024-08-31,29.9,14.4,33.1,Tokyo
2024-09-01,29.7,31.3,34.2,Tokyo
2024-09-02,31.2,0.0,41.6,Tokyo
2024-09-03,26.5,32.2,27.4,Tokyo
2024-09-04,27.9,2.0,21.8,Tokyo
2024-09-05,29.6,0.0,14.6,Tokyo
2024-09-06,31.5,0.0,14.8,Tokyo
2024-09-07,31.2,0.1,22.4,Tokyo
2024-09-08,32.1,1.4,18.8,Tokyo
2024-09-09,31.9,3.1,16.7,Tokyo
2024-09-10,31.6,1.1,21.3,Tokyo
2024-09-11,32.1,0.4,22.2,Tokyo
2024-09-12,32.3,0.1,25.8,Tokyo
2024-09-13,32.3,0.0,31.6,Tokyo
2024-09-14,33.1,0.0,35.8,Tokyo
2024-09-15,33.5,21.0,37.4,Tokyo
2024-09-16,30.4,23.2,29.7,Tokyo
2024-09-17,32.6,0.0,26.7,Tokyo
2024-09-18,35.2,5.3,18.1,Tokyo
2024-09-19,32.3,0.0,14.8,Tokyo
2024-09-20,33.2,0.2,13.4,Tokyo
2024-09-21,31.6,0.0,18.9,Tokyo
2024-09-22,28.7,1.8,35.8,Tokyo
2024-09-23,26.2,2.8,29.7,Tokyo
2024-09-24,23.9,0.1,28.8,Tokyo
2024-09-25,23.2,0.0,33.8,Tokyo
2024-09-26,28.0,0.2,22.7,Tokyo
2024-09-27,24.8,17.3,20.6,Tokyo
2024-09-28,27.0,0.3,18.5,Tokyo
2024-09-29,25.0,0.3,21.7,Tokyo
2024-09-30,25.2,1.1,18.2,Tokyo
2024-10-01,26.9,0.2,25.5,Tokyo
2024-10-02,31.0,0.0,33.3,Tokyo
2024-10-03,26.6,8.3,32.8,Tokyo
2024-10-04,28.4,0.7,35.1,Tokyo
2024-10-05,22.8,22.1,22.9,Tokyo
2024-10-06,25.6,0.2,15.0,Tokyo
2024-10-07,28.3,0.0,35.4,Tokyo
2024-10-08,22.0,15.2,25.2,Tokyo
2024-10-09,17.6,31.6,29.0,Tokyo
