datetime,temp,rain,wind_speed
2025-06-23 18:00:00,25.44,0.0,4.47
2025-06-23 21:00:00,23.58,0.0,2.99
2025-06-24 00:00:00,19.35,0.0,1.78
2025-06-24 03:00:00,13.35,0.0,1.28
2025-06-24 06:00:00,17.23,0.0,2.07
2025-06-24 09:00:00,21.91,0.0,2.8
2025-06-24 12:00:00,27.74,0.0,2.73
2025-06-24 15:00:00,30.85,0.0,3.23
2025-06-24 18:00:00,29.77,0.0,3.24
2025-06-24 21:00:00,23.36,0.0,2.66
2025-06-25 00:00:00,20.98,0.0,1.6
2025-06-25 03:00:00,19.43,0.0,1.11
2025-06-25 06:00:00,20.68,0.0,1.21
2025-06-25 09:00:00,27.21,0.0,0.98
2025-06-25 12:00:00,33.55,0.0,0.3
2025-06-25 15:00:00,35.78,0.0,1.45
2025-06-25 18:00:00,33.93,0.0,3.35
2025-06-25 21:00:00,21.43,3.6,6.86
2025-06-26 00:00:00,20.55,2.61,4.5
2025-06-26 03:00:00,18.91,0.11,4.91
2025-06-26 06:00:00,17.88,0.91,4.66
2025-06-26 09:00:00,18.27,1.28,4.26
2025-06-26 12:00:00,24.65,0.72,4.51
2025-06-26 15:00:00,23.73,0.37,2.85
2025-06-26 18:00:00,23.13,0.72,3.62
2025-06-26 21:00:00,21.49,0.0,1.81
2025-06-27 00:00:00,19.33,0.0,2.67
2025-06-27 03:00:00,17.93,0.0,2.85
2025-06-27 06:00:00,17.8,0.0,2.65
2025-06-27 09:00:00,22.38,0.0,2.82
2025-06-27 12:00:00,27.19,0.0,2.5
2025-06-27 15:00:00,29.8,0.0,2.12
2025-06-27 18:00:00,29.58,0.0,1.34
2025-06-27 21:00:00,24.36,0.0,1.91
2025-06-28 00:00:00,21.68,0.0,1.81
2025-06-28 03:00:00,19.95,0.0,1.83
2025-06-28 06:00:00,20.74,0.0,1.68
2025-06-28 09:00:00,25.67,0.0,2.17
2025-06-28 12:00:00,29.74,0.0,2.49
2025-06-28 15:00:00,31.78,0.0,2.89
